Project name,ISSUE KEY,Github
Commons Functor,FUNCTOR,https://github.com/apache/commons-functor
CXF,DOSGI,https://github.com/apache/cxf-dosgi
Commons BSF,BSF,https://github.com/apache/commons-bsf
Commons Chain,CHAIN,https://github.com/apache/commons-chain
XML Graphics Commons,XGC,https://github.com/apache/xmlgraphics-commons
Etch,ETCH,https://github.com/apache/etch
Commons JXPath,JXPATH,https://github.com/apache/commons-jxpath
Ambari,AMBARI,https://github.com/apache/ambari-logsearch
Commons Proxy,PROXY,https://github.com/apache/commons-proxy
Ambari,AMBARI,https://github.com/apache/ambari-metrics
Juddi Scout,SCOUT,https://github.com/apache/juddi-scout
Commons OGNL,OGNL,https://github.com/apache/commons-ognl
Accumulo,ACCUMULO,https://github.com/apache/accumulo-proxy
Aries,ARIES,https://github.com/apache/aries-jax-rs-whiteboard
Mnemonic,MNEMONIC,https://github.com/apache/mnemonic
HttpComponents,HTTPASYNC,https://github.com/apache/httpasyncclient
Rya,RYA,https://github.com/apache/rya
Creadur,WHISKER,https://github.com/apache/creadur-whisker
Axis,AXIS2,https://github.com/apache/axis-axis2-java-transports
Commons JCI,JCI,https://github.com/apache/commons-jci
Myriad,MYRIAD,https://github.com/apache/incubator-myriad
Ant,EASYANT,https://github.com/apache/ant-easyant-core
Twill,TWILL,https://github.com/apache/twill
Aries,ARIES,https://github.com/apache/aries-jpa
DistributedLog,DL,https://github.com/apache/distributedlog
MRUnit,MRUNIT,https://github.com/apache/attic-mrunit
Kandula,KAND,https://github.com/apache/axis-axis2-java-kandula
Infrastructure,INFRA,https://github.com/apache/ambari-infra
CXF,CXFXJC,https://github.com/apache/cxf-xjc-utils
Flex,FLEX,https://github.com/apache/flex-blazeds
Bahir,BAHIR,https://github.com/apache/bahir-flink
Creadur,TENTACLES,https://github.com/apache/creadur-tentacles
Savan,SAVAN,https://github.com/apache/axis-axis2-java-savan
Cordova,CB,https://github.com/apache/cordova
